species,decimalLatitude,decimalLongitude,year,basisOfRecord,coordinateUncertaintyInMeters,datasetName
Pseudotsuga menziesii,49.133278,-123.826522,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.436005,-123.682424,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.782934,-123.304504,2026,HUMAN_OBSERVATION,6.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.916533,-119.55375,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.495578,-123.337662,2026,HUMAN_OBSERVATION,11.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.210019,-119.232108,2026,HUMAN_OBSERVATION,9.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.491933,-123.338131,2026,HUMAN_OBSERVATION,483.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.378853,-123.922858,2026,HUMAN_OBSERVATION,15.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.491293,-123.338172,2026,HUMAN_OBSERVATION,112.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.473233,-123.33258,2026,HUMAN_OBSERVATION,14.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.342013,-119.72325,2026,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.510921,-123.378465,2026,HUMAN_OBSERVATION,19.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.479572,-123.5381,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.65853,-120.400812,2026,HUMAN_OBSERVATION,7.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.347994,-119.804834,2026,HUMAN_OBSERVATION,136.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.356214,-123.112656,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.511148,-123.37827,2026,HUMAN_OBSERVATION,36.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.511354,-123.377733,2026,HUMAN_OBSERVATION,27.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.456566,-123.312966,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.050789,-122.809753,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
