FamilyEx,Genus,Species,AccessionList
Caryophyllaceae,Silene,acaulis,1972-0547; 1972-0553; 1972-0582; 1974-1189; 1975-0560; 1979-0438; 1980-0267; 1982-0222; 1984-0229; 1984-0364; 1990-0353; 1991-0455; 1995-0803; 2010-0240; 2016-0281; 2016-0289; 2018-0154
Caryophyllaceae,Silene,scouleri,2017-0350
Celastraceae,Euonymus,occidentalis,2008-0221; 2024-0686
Celastraceae,Parnassia,fimbriata,1975-0331; 1975-0636; 2013-0409; 2015-0356; 2016-0302; 2019-0924
Celastraceae,Parnassia,kotzebuei,1980-0255
Celastraceae,Parnassia,palustris,1977-0179; 1982-0449; 1992-0851; 2014-0373; 2020-0001; 2025-0147
Celastraceae,Parnassia,parviflora,1975-0637
Celastraceae,Paxistima,myrsinites,1971-0055; 1973-0628; 1974-0294; 1974-0610; 1975-0745; 1975-0781; 1985-0043; 2003-0287; 2003-0294; 2003-0305; 2003-0306; 2004-0093; 2004-0094; 2004-0095; 2004-0128; 2007-0084; 2019-0940
Colchicaceae,Disporum,trachycarpum,1971-0113; 1974-0452; 1976-0337; 1977-0100; 2007-0357
Convolvulaceae,Calystegia,soldanella,2011-0109
Cornaceae,Cornus,canadensis,1971-0121; 1972-0075; 1973-0698; 1974-0324; 1974-0425; 1974-0601; 1974-0602; 1974-0603; 1974-0604; 1975-0682; 1977-0173; 1983-0438; 1999-0415; 2018-0782; 2019-1026
Cornaceae,Cornus,nuttallii,1971-0105; 1975-0389; 1976-0057; 1994-0456; 2003-0320; 2014-0406; 2015-0460; 2015-0461; 2020-0694
Cornaceae,Cornus,sericea,1971-0057; 1975-0739; 1976-0425; 1979-0453; 1984-0420; 2016-0319
Cornaceae,Cornus,unalaschkensis,1972-0225; 1973-0598; 1974-0502; 1975-0302; 1980-0302; 2003-0284; 2011-0801; 2012-0347; 2013-0298; 2017-0425; 2024-0622
Crassulaceae,Sedum,album,1973-0110; 1984-0062; 1997-0054
Crassulaceae,Sedum,divergens,1970-0129; 1973-0091; 1975-0074; 1975-0694; 1976-0645; 1980-0265; 1998-0295; 2001-0243; 2015-0360; 2021-0142
Crassulaceae,Sedum,oreganum,1995-0950; 1998-0297; 2017-0039; 2022-0114
Crassulaceae,Sedum,spathulifolium,1970-0128; 1972-0694; 1975-0227; 1975-0283; 1975-0380; 1978-0840; 1980-0195; 1982-0584; 2006-0291; 2006-0292; 2007-0098; 2007-0099; 2013-0422; 2015-0505; 2018-0733; 2018-0755; 2020-0561
Crassulaceae,Sedum,stenopetalum,1980-0192; 1980-0266; 1998-0473; 1998-0487
Cucurbitaceae,Marah,oregana,1978-0762; 2004-0060; 2012-0415; 2019-0123
Cupressaceae,Callitropsis,nootkatensis,1971-0122; 1977-0160; 1977-0321; 1982-0131; 1982-0708; 1994-0543; 1997-0562; 2016-0378; 2017-0290; 2017-0421; 2017-0430; 2023-0458; 2025-0267
Cupressaceae,Juniperus,communis,1973-0446; 1974-0427; 1974-0896; 1975-0776; 2011-0837; 2013-0303; 2015-0404; 2016-0284; 2016-0363; 2018-0778; 2019-0753
Cupressaceae,Juniperus,horizontalis,1972-0598; 1972-0599; 1972-0600; 1972-0601; 1972-0602; 1974-0606; 1974-1067; 1976-0203; 1977-0441; 1977-0442; 1977-0697; 1977-0734; 1979-0548; 1986-0590; 1986-0591; 1986-0592; 1989-0760
Cupressaceae,Juniperus,maritima,2016-0312; 2017-0248
Cupressaceae,Juniperus,scopulorum,1972-0283; 1973-0019; 1973-0450; 1974-0607; 1974-0889; 1974-1068; 1975-0777; 1977-0695; 1977-0696; 1977-0733; 1977-0735; 1984-0308; 2003-0290; 2003-0299; 2003-0300; 2004-0110; 2011-0446; 2011-0447; 2011-0448; 2016-0276; 2019-0905
Cupressaceae,Thuja,plicata,1974-0287; 1976-0058; 1982-1115; 1983-0425; 1994-0271; 2004-0101; 2009-0328; 2009-0375; 2016-0113; 2016-0421; 2023-0030; 2023-0459; 2025-0266
Cyperaceae,Carex,amplifolia,1976-0360
Cyperaceae,Carex,anthoxanthea,1983-0666
Cyperaceae,Carex,aquatilis,1983-0667
Cyperaceae,Carex,aurea,1974-0535; 1975-0885; 2024-0619
Cyperaceae,Carex,bebbii,1978-0525
Cyperaceae,Carex,bicolor,1978-0471
Cyperaceae,Carex,bigelowii,1972-0143
Cyperaceae,Carex,canescens,1972-0089; 1975-0886; 1978-0526
Cyperaceae,Carex,capillaris,1978-0472
Cyperaceae,Carex,capitata,1972-0090
Cyperaceae,Carex,concinna,1978-0527
Cyperaceae,Carex,diandra,1978-0473
Cyperaceae,Carex,dioica,1978-0474
Cyperaceae,Carex,disperma,1974-0445
Cyperaceae,Carex,echinata,2021-0039
Cyperaceae,Carex,flava,1972-0121; 1990-0270
Cyperaceae,Carex,foenea,1983-0664
Cyperaceae,Carex,geyeri,1974-1138
Cyperaceae,Carex,glacialis,1978-0528
Cyperaceae,Carex,hoodii,1983-0668; 2009-0184; 2009-0242; 2022-0359
Cyperaceae,Carex,interior,1978-0475
Cyperaceae,Carex,laeviculmis,1978-0476
Cyperaceae,Carex,limosa,1974-0446
Cyperaceae,Carex,livida,1977-0236
Cyperaceae,Carex,loliacea,1983-0669
Cyperaceae,Carex,lyngbyei,1973-0195; 1976-0677
Cyperaceae,Carex,macloviana,1975-0888; 1984-0492
Cyperaceae,Carex,macrocephala,1977-0257; 1977-0643; 1989-0446
Cyperaceae,Carex,macrochaeta,1978-0477
Cyperaceae,Carex,mertensii,1988-0331; 2013-0406
Cyperaceae,Carex,microglochin,1974-0447
Cyperaceae,Carex,nardina,1974-0448
Cyperaceae,Carex,nigricans,1974-0203; 1978-0529
Cyperaceae,Carex,obnupta,1987-0277
Cyperaceae,Carex,oederi,1983-0670
Cyperaceae,Carex,pallescens,1972-0126
Cyperaceae,Carex,pauciflora,1974-0449; 2013-0297
Cyperaceae,Carex,paysonis,1975-0890
Cyperaceae,Carex,phaeocephala,1983-0671
Cyperaceae,Carex,phyllomanica,1977-0237
Cyperaceae,Carex,podocarpa,1983-0672
Cyperaceae,Carex,praticola,1975-0891
Cyperaceae,Carex,retrorsa,1983-0674
Cyperaceae,Carex,scirpoidea,1988-0240
Cyperaceae,Carex,spectabilis,1978-0531; 2019-0937
Cyperaceae,Carex,sprengelii,1984-0493
Cyperaceae,Carex,stipata,1976-0315; 1977-0159
Cyperaceae,Carex,stylosa,2013-0296
Cyperaceae,Carex,tumulicola,2017-0348; 2018-0724
Cyperaceae,Carex,vaginata,1983-0675
Cyperaceae,Carex,viridula,1995-0421; 1996-0272; 2020-0510
Cyperaceae,Cyperus,erythrorhizos,1977-0803
Cyperaceae,Dulichium,arundinaceum,1983-0682
Cyperaceae,Eleocharis,kamtschatica,1978-0480
Cyperaceae,Eleocharis,palustris,1975-0621; 1995-0422
Cyperaceae,Eriophorum,angustifolium,1975-0591; 1975-0948
Cyperaceae,Eriophorum,brachyantherum,1974-1137
Cyperaceae,Eriophorum,chamissonis,1975-0949; 2013-0295; 2015-0440
Cyperaceae,Eriophorum,gracile,1983-0693
Cyperaceae,Eriophorum,scheuchzeri,1978-0483
Cyperaceae,Eriophorum,viridicarinatum,1977-0232
Cyperaceae,Rhynchospora,alba,1976-0806; 1986-0301
Cyperaceae,Scirpus,cyperinus,1980-0321
Cyperaceae,Scirpus,lacustris,1975-0666; 1980-0322
Cyperaceae,Scirpus,microcarpus,1976-0320
Cyperaceae,Scirpus,paludosus,1980-0323
Cyperaceae,Trichophorum,alpinum,1975-0665; 2020-0521
Cystopteridaceae,Cystopteris,fragilis,1973-0621; 1974-0806; 1975-0616; 2006-0420; 2009-0306
Cystopteridaceae,Gymnocarpium,dryopteris,1996-0318; 1996-0825; 2004-0100; 2005-0127; 2015-0472; 2016-0303; 2017-0236; 2019-0595; 2021-0721
Dennstaedtiaceae,Pteridium,aquilinum,1976-0059; 2004-0096
Droseraceae,Drosera,rotundifolia,1974-0496; 1975-0306; 2013-0300; 2014-0392; 2023-0184
Dryopteridaceae,Dryopteris,carthusiana,2019-1003; 2019-1062; 2022-0555
Dryopteridaceae,Dryopteris,cristata,1975-0091; 2018-0798
Dryopteridaceae,Dryopteris,expansa,1974-0504; 1975-0619; 1990-0099; 2007-0350
Dryopteridaceae,Dryopteris,filix-mas,1975-0406; 1975-0620; 1975-0864
Dryopteridaceae,Polystichum,andersonii,1973-0215; 1976-0370; 1986-0402
Dryopteridaceae,Polystichum,imbricans,2008-0285; 2008-0297
Dryopteridaceae,Polystichum,kruckebergii,1982-0712; 2010-0459; 2013-0460
Dryopteridaceae,Polystichum,lemmonii,1974-0576; 2006-0372; 2023-0483
Dryopteridaceae,Polystichum,lonchitis,1974-0518; 1975-0428; 1975-0648; 2017-0403; 2017-0404
Dryopteridaceae,Polystichum,munitum,1975-0649; 1976-0049; 2003-0291; 2007-0072; 2007-0329; 2017-0037; 2020-0483; 2020-0598; 2023-0319
Dryopteridaceae,Polystichum,scopulinum,1976-0383; 2016-0375; 2016-0376; 2021-0650
Elaeagnaceae,Elaeagnus,commutata,1970-0137; 1972-0186; 1973-0451; 1977-0129; 1979-0813; 1983-0609; 1991-0445; 1991-0446; 2005-0055; 2005-0056; 2005-0057
Elaeagnaceae,Shepherdia,canadensis,1972-0277; 1973-0455; 1974-0436; 1975-0909; 1979-0817; 1991-0449; 1992-0524; 2012-0380; 2012-0383; 2013-0402
